Month,Passengers
1970-01-01 00:00:00.000001949,112
1970-01-01 00:00:00.000001949,118
1970-01-01 00:00:00.000001949,132
1970-01-01 00:00:00.000001949,129
1970-01-01 00:00:00.000001949,121
1970-01-01 00:00:00.000001949,135
1970-01-01 00:00:00.000001949,148
1970-01-01 00:00:00.000001949,148
1970-01-01 00:00:00.000001949,136
1970-01-01 00:00:00.000001949,119
1970-01-01 00:00:00.000001949,104
1970-01-01 00:00:00.000001949,118
1970-01-01 00:00:00.000001950,115
1970-01-01 00:00:00.000001950,126
1970-01-01 00:00:00.000001950,141
1970-01-01 00:00:00.000001950,135
1970-01-01 00:00:00.000001950,125
1970-01-01 00:00:00.000001950,149
1970-01-01 00:00:00.000001950,170
1970-01-01 00:00:00.000001950,170
1970-01-01 00:00:00.000001950,158
1970-01-01 00:00:00.000001950,133
1970-01-01 00:00:00.000001950,114
1970-01-01 00:00:00.000001950,140
1970-01-01 00:00:00.000001951,145
1970-01-01 00:00:00.000001951,150
1970-01-01 00:00:00.000001951,178
1970-01-01 00:00:00.000001951,163
1970-01-01 00:00:00.000001951,172
1970-01-01 00:00:00.000001951,178
1970-01-01 00:00:00.000001951,199
1970-01-01 00:00:00.000001951,199
1970-01-01 00:00:00.000001951,184
1970-01-01 00:00:00.000001951,162
1970-01-01 00:00:00.000001951,146
1970-01-01 00:00:00.000001951,166
1970-01-01 00:00:00.000001952,171
1970-01-01 00:00:00.000001952,180
1970-01-01 00:00:00.000001952,193
1970-01-01 00:00:00.000001952,181
1970-01-01 00:00:00.000001952,183
1970-01-01 00:00:00.000001952,218
1970-01-01 00:00:00.000001952,230
1970-01-01 00:00:00.000001952,242
1970-01-01 00:00:00.000001952,209
1970-01-01 00:00:00.000001952,191
1970-01-01 00:00:00.000001952,172
1970-01-01 00:00:00.000001952,194
1970-01-01 00:00:00.000001953,196
1970-01-01 00:00:00.000001953,196
1970-01-01 00:00:00.000001953,236
1970-01-01 00:00:00.000001953,235
1970-01-01 00:00:00.000001953,229
1970-01-01 00:00:00.000001953,243
1970-01-01 00:00:00.000001953,264
1970-01-01 00:00:00.000001953,272
1970-01-01 00:00:00.000001953,237
1970-01-01 00:00:00.000001953,211
1970-01-01 00:00:00.000001953,180
1970-01-01 00:00:00.000001953,201
1970-01-01 00:00:00.000001954,204
1970-01-01 00:00:00.000001954,188
1970-01-01 00:00:00.000001954,235
1970-01-01 00:00:00.000001954,227
1970-01-01 00:00:00.000001954,234
1970-01-01 00:00:00.000001954,264
1970-01-01 00:00:00.000001954,302
1970-01-01 00:00:00.000001954,293
1970-01-01 00:00:00.000001954,259
1970-01-01 00:00:00.000001954,229
1970-01-01 00:00:00.000001954,203
1970-01-01 00:00:00.000001954,229
1970-01-01 00:00:00.000001955,242
1970-01-01 00:00:00.000001955,233
1970-01-01 00:00:00.000001955,267
1970-01-01 00:00:00.000001955,269
1970-01-01 00:00:00.000001955,270
1970-01-01 00:00:00.000001955,315
1970-01-01 00:00:00.000001955,364
1970-01-01 00:00:00.000001955,347
1970-01-01 00:00:00.000001955,312
1970-01-01 00:00:00.000001955,274
1970-01-01 00:00:00.000001955,237
1970-01-01 00:00:00.000001955,278
1970-01-01 00:00:00.000001956,284
1970-01-01 00:00:00.000001956,277
1970-01-01 00:00:00.000001956,317
1970-01-01 00:00:00.000001956,313
1970-01-01 00:00:00.000001956,318
1970-01-01 00:00:00.000001956,374
1970-01-01 00:00:00.000001956,413
1970-01-01 00:00:00.000001956,405
1970-01-01 00:00:00.000001956,355
1970-01-01 00:00:00.000001956,306
1970-01-01 00:00:00.000001956,271
1970-01-01 00:00:00.000001956,306
1970-01-01 00:00:00.000001957,315
1970-01-01 00:00:00.000001957,301
1970-01-01 00:00:00.000001957,356
1970-01-01 00:00:00.000001957,348
1970-01-01 00:00:00.000001957,355
1970-01-01 00:00:00.000001957,422
1970-01-01 00:00:00.000001957,465
1970-01-01 00:00:00.000001957,467
1970-01-01 00:00:00.000001957,404
1970-01-01 00:00:00.000001957,347
1970-01-01 00:00:00.000001957,305
1970-01-01 00:00:00.000001957,336
1970-01-01 00:00:00.000001958,340
1970-01-01 00:00:00.000001958,318
1970-01-01 00:00:00.000001958,362
1970-01-01 00:00:00.000001958,348
1970-01-01 00:00:00.000001958,363
1970-01-01 00:00:00.000001958,435
1970-01-01 00:00:00.000001958,491
1970-01-01 00:00:00.000001958,505
1970-01-01 00:00:00.000001958,404
1970-01-01 00:00:00.000001958,359
1970-01-01 00:00:00.000001958,310
1970-01-01 00:00:00.000001958,337
1970-01-01 00:00:00.000001959,360
1970-01-01 00:00:00.000001959,342
1970-01-01 00:00:00.000001959,406
1970-01-01 00:00:00.000001959,396
1970-01-01 00:00:00.000001959,420
1970-01-01 00:00:00.000001959,472
1970-01-01 00:00:00.000001959,548
1970-01-01 00:00:00.000001959,559
1970-01-01 00:00:00.000001959,463
1970-01-01 00:00:00.000001959,407
1970-01-01 00:00:00.000001959,362
1970-01-01 00:00:00.000001959,405
1970-01-01 00:00:00.000001960,417
1970-01-01 00:00:00.000001960,391
1970-01-01 00:00:00.000001960,419
1970-01-01 00:00:00.000001960,461
1970-01-01 00:00:00.000001960,472
1970-01-01 00:00:00.000001960,535
1970-01-01 00:00:00.000001960,622
1970-01-01 00:00:00.000001960,606
1970-01-01 00:00:00.000001960,508
1970-01-01 00:00:00.000001960,461
1970-01-01 00:00:00.000001960,390
1970-01-01 00:00:00.000001960,432
